name,institution,course_url,course_id,avg_rating,n_reviews,popularity_score,popularity_norm
Introduction to Structured Query Language (SQL),University of Michigan,https://www.coursera.org/learn/intro-sql,intro-sql,4.773264052905055,2117.0,36.55474215959399,0.7237806790414851
Social and Economic Networks:  Models and Analysis,Stanford University,https://www.coursera.org/learn/social-economic-networks,social-economic-networks,1.0,6.0,1.9459101490553128,0.03852884976969606
Fundamentals of Scalable Data Science,IBM,https://www.coursera.org/learn/ds,ds,4.012618296529968,951.0,27.52080354654453,0.544909489218144
Applied Machine Learning in Python,University of Michigan,https://www.coursera.org/learn/python-machine-learning,python-machine-learning,4.509554140127388,3297.0,36.53222053636074,0.7233347528826926
Introduction to C# Programming and Unity,University of Colorado System,https://www.coursera.org/learn/introduction-programming-unity,introduction-programming-unity,4.665809768637532,1167.0,32.95483911709391,0.6525029154832384
Les Fondamentaux de la Négociation,ESSEC Business School,https://www.coursera.org/learn/fondamentaux-negociation,fondamentaux-negociation,4.863013698630137,219.0,26.229284643220392,0.5193375285471664
Introduction to Clinical Data,Stanford University,https://www.coursera.org/learn/introduction-clinical-data,introduction-clinical-data,,,0.0,0.0
Finance for Non-Financial Managers,Emory University,https://www.coursera.org/learn/finance-for-non-financial-managers,finance-for-non-financial-managers,4.130434782608695,207.0,22.046352937896746,0.43651584875400956
Digital Marketing Analytics in Practice,University of Illinois at Urbana-Champaign,https://www.coursera.org/learn/digital-analytics,digital-analytics,,,0.0,0.0
The Horse Course: Introduction to Basic Care and Management,University of Florida,https://www.coursera.org/learn/horse-care,horse-care,4.957364341085271,774.0,32.98066594784082,0.6530142844600424
Introduction to Big Data,University of California San Diego,https://www.coursera.org/learn/big-data-introduction,big-data-introduction,4.58640081799591,5868.0,39.7982158069268,0.7880011719304925
Practical Time Series Analysis,The State University of New York,https://www.coursera.org/learn/practical-time-series-analysis,practical-time-series-analysis,4.493523316062176,772.0,29.883183963147367,0.5916844136484165
Getting Started with Google Kubernetes Engine,Google Cloud,https://www.coursera.org/learn/google-kubernetes-engine,google-kubernetes-engine,4.245696400625978,1917.0,32.09338151333005,0.6354461307110877
Exploring ​and ​Preparing ​your ​Data with BigQuery,Google Cloud,https://www.coursera.org/learn/gcp-exploring-preparing-data-bigquery,gcp-exploring-preparing-data-bigquery,4.4573170731707314,984.0,30.722689266443883,0.6083065448024563
Introduction to Machine Learning,Duke University,https://www.coursera.org/learn/machine-learning-duke,machine-learning-duke,4.681889763779528,635.0,30.222528076866432,0.5984033972479726
Entrepreneurship 2: Launching your Start-Up,University of Pennsylvania,https://www.coursera.org/learn/wharton-launching-startup,wharton-launching-startup,4.752475247524752,606.0,30.45637445255999,0.6030335349152535
Preparing for the Google Cloud Professional Cloud Architect Exam,Google Cloud,https://www.coursera.org/learn/preparing-cloud-professional-cloud-architect-exam,preparing-cloud-professional-cloud-architect-exam,4.46829268292683,410.0,26.89283602184659,0.5324757874713902
Effective Business Presentations with Powerpoint,PwC,https://www.coursera.org/learn/powerpoint-presentations,powerpoint-presentations,4.6381578947368425,456.0,28.40724862223957,0.5624610237363855
More Introduction to Financial Accounting,University of Pennsylvania,https://www.coursera.org/learn/wharton-financial-accounting,wharton-financial-accounting,4.932584269662922,267.0,27.57801443195805,0.5460422597164934
Dairy Production and Management,The Pennsylvania State University,https://www.coursera.org/learn/dairy-production,dairy-production,,,0.0,0.0
Introduction to Operations Management,University of Pennsylvania,https://www.coursera.org/learn/wharton-operations,wharton-operations,4.275462962962963,1296.0,30.645702693130723,0.6067822174233599
Preparing for the Google Cloud Associate Cloud Engineer Exam,Google Cloud,https://www.coursera.org/learn/preparing-cloud-associate-cloud-engineer-exam,preparing-cloud-associate-cloud-engineer-exam,4.636363636363637,715.0,30.477971683181178,0.6034611581816459
European Business Law: Understanding the Fundamentals,Lund University,https://www.coursera.org/learn/european-law-fundamentals,european-law-fundamentals,4.748201438848921,417.0,28.657681622059997,0.567419575102254
Front-End Web Development with React,The Hong Kong University of Science and Technology,https://www.coursera.org/learn/front-end-react,front-end-react,4.6199756394640685,1642.0,34.20758915312467,0.6773072559923019
Music Business Foundations,Berklee College of Music,https://www.coursera.org/learn/music-business-foundations,music-business-foundations,4.869731800766283,1305.0,34.938983133341125,0.6917887924599031
Introduction to Business Analytics: Communicating with Data,University of Illinois at Urbana-Champaign,https://www.coursera.org/learn/intro-business-analytics,intro-business-analytics,4.646464646464646,297.0,26.471343472651373,0.5241302720759992
Security & Safety Challenges in a Globalized World,Universiteit Leiden,https://www.coursera.org/learn/security-safety-globalized-world,security-safety-globalized-world,,,0.0,0.0
Machine Learning Foundations: A Case Study Approach,University of Washington,https://www.coursera.org/learn/ml-foundations,ml-foundations,4.499247554552295,7974.0,40.42154115417711,0.8003429589721552
Accounting Analytics,University of Pennsylvania,https://www.coursera.org/learn/accounting-analytics,accounting-analytics,4.426991150442478,1356.0,31.932027325950383,0.6322513319952884
Strategic Business Management - Microeconomics,"University of California, Irvine",https://www.coursera.org/learn/strategic-business-management-microeconomics,strategic-business-management-microeconomics,4.7875,80.0,21.0384253279943,0.41655897074527254
Research Data Management and Sharing,The University of Edinburgh,https://www.coursera.org/learn/data-management,data-management,4.725806451612903,372.0,27.984233499284485,0.5540853615144898
Strategic Management,Copenhagen Business School,https://www.coursera.org/learn/strategic-management,strategic-management,4.780653950953679,2202.0,36.79944399445425,0.7286257538453126
Cybersecurity Compliance Framework & System Administration,IBM,https://www.coursera.org/learn/cybersecurity-compliance-framework-system-administration,cybersecurity-compliance-framework-system-administration,4.4896265560165975,482.0,27.745966884863417,0.5493677035092525
